fips_code,State_name,County,Cases_7_day_count_change,cases_per_100K_7_day_count_change,new_cases_week_over_week_percent_change,percent_test_results_reported_positive_last_7_days,percent_test_results_reported_positive_last_7_days_7_day_count_change,total_test_results_reported_7_day_count_change,total_test_results_reported_7_day_count_change_per_100K,total_new_test_results_reported_week_over_week_percent_change,deaths_7_day_count_change,deaths_per_100K_7_day_count_change,new_deaths_week_over_week_percent_change,hotspot_history_last_14_days,numDaysDownward,population_density_2019,avg_hh_size,percent_uninsured_2019,poverty_rate_2019,percent_65_plus,percent_american_indian_ak_native,svi_rank,ccvi_score,aoc_continuum_status,report_date,case_death_start_date,case_death_end_date,testing_start_date,testing_end_date,hospital_data_collection_date,total_hospitals_reporting,admissions_covid_confirmed_last_7_days,admissions_covid_confirmed_7_day_rolling_average,admissions_covid_confirmed_last_7_days_per_100_beds,admissions_covid_confirmed_week_over_week_percent_change,percent_adult_inpatient_beds_used_confirmed_covid,percent_adult_inpatient_beds_used_confirmed_covid_week_over_week_absolute_change,hospitals_included_in_percent_adult_inpatient_beds_used_confirmed_covid,percent_adult_icu_beds_used_confirmed_covid,percent_adult_icu_beds_used_confirmed_covid_week_over_week_absolute_change,hospitals_included_in_percent_adult_icu_beds_used_confirmed_covid,cases_per_100k_14_day_count_change,percent_positive_14_day,school_composite,community_transmission_level,poverty_rate_2019_state_avg,percent_65_plus_state_avg,population_density_2019_state_avg,avg_hh_size_state_avg,percent_uninsured_2019_state_avg,population_density_2019_US_avg,avg_hh_size_US_avg,percent_uninsured_2019_US_avg,poverty_rate_2019_US_avg,percent_65_plus_US_avg,total_population_2019,Metro_status,NCHS_status,state_population,US_population,rucc_description
37021,North Carolina,Buncombe,254,97.25,-3.79,3.98,-0.4,3464,1326.23,-17.9,0,0,-100,0,0,397.86,2.31,10.2,12.3,20.48,0.3,0.3799,0.26,EmergingHotspot,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,2021-04-30,3,25,3.57,2.83,-0.3902,0.0486,0,3,0.0897,0.0144,2,194.11,4.2041,Lower risk of transmission in schools,substantial,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,261191,Metro,Medium metro,10488084,331996199,
37023,North Carolina,Burke,77,85.1,35.09,2.82,0.17,1704,1883.19,-7.74,1,1.11,-66.67,0,7,178.74,2.5,12.3,18.1,20.69,0.5,0.8487,0.87,ModerateBurden,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,2021-04-30,1,7,1,8.63,-0.3,0.0669,-0.0466,1,0.2331,-0.1654,1,137.04,2.7316,Lowest risk of transmission in schools,substantial,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,90485,Metro,Medium metro,10488084,331996199,
37025,North Carolina,Cabarrus,347,160.31,-11.25,7.56,-0.14,3624,1674.27,-21.86,1,0.46,-66.67,0,3,599.17,2.76,7.8,10.9,13.43,0.3,0.4175,0.58,SustainedHotspot,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,2021-04-30,1,24,3.43,4.59,0.0435,0.0804,-0.0208,1,0.1049,-0.0379,1,352.96,7.6374,Moderate risk of transmission in schools,high,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,216453,Metro,Large fringe metro,10488084,331996199,
37027,North Carolina,Caldwell,71,86.4,16.39,2.28,-1.18,1051,1278.93,-15.38,1,1.22,0,0,7,174.15,2.48,12.6,16.6,20.41,0.4,0.651,0.9,ModerateBurden,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,2021-04-30,1,4,0.57,4.12,1,0.0339,0.0059,1,0.0357,-0.0595,1,138.72,2.9219,Lowest risk of transmission in schools,substantial,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,82178,Metro,Medium metro,10488084,331996199,
37029,North Carolina,Camden,4,36.81,-71.43,10,-10,40,368.09,-42.86,0,0,0,0,0,45.22,2.71,8.1,11.2,16.87,0.1,0.307,0.62,ModerateBurden,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,1900-01-01,0,0,,,,,,0,,,0,156.44,16.3636,Higher risk of transmission in schools,high,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,10867,Non-metro,Micropolitan,10488084,331996199,
37031,North Carolina,Carteret,73,105.08,1.39,5.91,0.83,474,682.28,-26.96,4,5.76,,0,7,136.86,2.28,11.4,11.6,25.72,0.4,0.4255,0.63,HighBurdenResolving,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,2021-04-30,1,3,0.43,3.38,0,0.0306,0.0129,1,0.1177,0.0891,1,243.26,5.4319,Moderate risk of transmission in schools,high,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,69473,Non-metro,Micropolitan,10488084,331996199,
37033,North Carolina,Caswell,19,84.06,18.75,5.43,0.55,258,1141.39,-33.68,0,0,0,0,0,53.14,2.38,9,19.6,22.14,0.1,0.836,0.91,ModerateBurden,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,1900-01-01,0,0,,,,,,0,,,0,150.42,5.1005,Moderate risk of transmission in schools,substantial,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,22604,Non-metro,Noncore,10488084,331996199,
37035,North Carolina,Catawba,378,236.91,89,6.04,-2.5,1491,934.5,-24.24,1,0.63,-50,1,0,397.51,2.52,10.8,13.2,18.27,0.2,0.6481,0.71,Hotspot,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,2021-04-30,2,28,4,6.93,-0.0968,0.0826,0.0175,2,0.2679,0.0835,2,209.96,7.4588,Moderate risk of transmission in schools,high,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,159551,Metro,Medium metro,10488084,331996199,
37037,North Carolina,Chatham,31,41.63,-52.31,2.47,-1.34,649,871.49,-39.74,0,0,0,0,3,109.24,2.42,11.9,11.9,25.02,0.2,0.3809,0.58,ModerateBurden,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,2021-04-30,1,2,0.29,8,,0.0343,0.0343,1,0.1429,0.1429,1,145.02,3.3024,Lower risk of transmission in schools,moderate,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,74470,Metro,Medium metro,10488084,331996199,
37039,North Carolina,Cherokee,77,269.12,30.51,16.56,2.41,302,1055.5,-5.03,0,0,0,0,0,62.81,2.29,14,16.5,30.49,1.4,0.4869,0.66,SustainedHotspot,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,2021-04-30,1,7,1,28,0,0.1257,-0.0229,1,0.0952,-0.2143,1,443.87,15.3226,Highest risk of transmission in schools,high,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,28612,Non-metro,Noncore,10488084,331996199,
37041,North Carolina,Chowan,17,121.92,-19.05,7.88,-3,165,1183.39,-14.51,0,0,0,0,0,80.76,2.33,11.9,19.6,25.25,1.2,0.8118,0.91,ModerateBurden,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,2021-04-30,1,3,0.43,10.34,2,0.0443,0.0148,1,0.1786,0.1786,1,286.88,9.4972,Higher risk of transmission in schools,high,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,13943,Non-metro,Noncore,10488084,331996199,
37043,North Carolina,Clay,7,62.33,-46.15,2.16,-1.32,232,2065.71,-19.16,0,0,0,0,0,52.24,2.13,14.6,15.8,31.89,0,0.2191,0.75,ModerateBurden,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,1900-01-01,0,0,,,,,,0,,,0,195.89,2.8902,Lowest risk of transmission in schools,substantial,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,11231,Non-metro,Noncore,10488084,331996199,
37045,North Carolina,Cleveland,99,101.08,-20.16,4.96,-0.64,1694,1729.51,-20.95,1,1.02,,0,0,210.99,2.59,12.3,20.2,18.96,0.2,0.835,0.87,SustainedHotspot,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,2021-04-30,1,8,1.14,3.05,-0.2,0.0416,-0.0101,1,0.0794,0.0079,1,229.72,5.3167,Moderate risk of transmission in schools,high,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,97947,Non-metro,Micropolitan,10488084,331996199,
37047,North Carolina,Columbus,37,66.66,-5.13,2.7,-1.9,371,668.37,-44.96,0,0,-100,0,2,59.17,2.39,13.7,23.8,20.57,3.3,0.9481,0.97,ModerateBurden,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,2021-04-30,1,3,0.43,4.41,-0.4,0.0346,-0.0069,1,0,-0.0318,1,117.1,3.9234,Lower risk of transmission in schools,substantial,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,55508,Non-metro,Noncore,10488084,331996199,
37049,North Carolina,Craven,52,50.91,-34.18,3.73,-1.5,1071,1048.57,-17.55,0,0,0,0,5,144.56,2.4,11.4,15.3,19.68,0.4,0.8099,0.66,ModerateBurden,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,2021-04-30,1,5,0.71,1.62,-0.375,0.0221,-0.0099,1,0.118,0,1,128.26,4.557,Lower risk of transmission in schools,substantial,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,102139,Metro,Small metro,10488084,331996199,
37051,North Carolina,Cumberland,644,191.95,44.39,15.9,3.2,2453,731.13,-27.38,2,0.6,-33.33,1,0,514.14,2.55,10.2,18.2,12.2,1.3,0.864,0.95,SustainedHotspot,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,2021-04-30,3,15,2.14,1.97,-0.1667,0.0311,0,3,0.0533,0.0248,3,315.94,14.0456,Highest risk of transmission in schools,high,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,335509,Metro,Medium metro,10488084,331996199,
37053,North Carolina,Currituck,22,79.24,69.23,14.41,7.89,111,399.81,-39.67,0,0,-100,0,0,106,2.53,13.7,10,16.39,0.6,0.1194,0.33,ModerateBurden,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,1900-01-01,0,0,,,,,,0,,,0,133.27,9.4915,Higher risk of transmission in schools,high,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,27763,Metro,Large fringe metro,10488084,331996199,
37055,North Carolina,Dare,21,56.74,-16,2.73,-6,622,1680.67,35.81,0,0,-100,0,25,96.57,2.3,14.9,8.2,22.16,0.2,0.1449,0.4,ModerateBurden,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,2021-04-30,1,0,0,0,-1,0.0235,0.0235,1,,,0,132.4,5.2778,Moderate risk of transmission in schools,substantial,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,37009,Non-metro,Micropolitan,10488084,331996199,
37057,North Carolina,Davidson,210,125.29,31.25,8.04,1.44,1991,1187.88,-18.9,0,0,-100,0,7,302.99,2.49,11.4,15.5,18.55,0.4,0.6841,0.8,Hotspot,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,2021-04-30,2,17,2.43,7.6,1.4286,0.0734,0.0199,2,0.1534,0.0159,2,232.68,7.2425,Moderate risk of transmission in schools,high,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,167609,Metro,Medium metro,10488084,331996199,
37059,North Carolina,Davie,50,116.7,13.64,7.4,2.42,473,1103.95,-15.84,0,0,0,0,16,162.48,2.6,10.8,13.7,21.66,0,0.4411,0.77,EmergingHotspot,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,2021-04-30,1,0,0,0,,0,0,1,,,0,217.06,6.087,Moderate risk of transmission in schools,high,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,42846,Metro,Medium metro,10488084,331996199,
37061,North Carolina,Duplin,56,95.33,14.29,4.09,-0.5,587,999.3,-20.78,0,0,-100,0,6,72.1,2.69,17.9,24.1,19.42,0.2,0.979,0.99,ModerateBurdenResolving,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,2021-04-30,1,3,0.43,8.82,0,0.1429,0.042,1,0.381,0.0952,1,187.26,4.3675,Lower risk of transmission in schools,substantial,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,58741,Non-metro,Noncore,10488084,331996199,
37063,North Carolina,Durham,314,97.67,-23.41,3.76,-0.59,5662,1761.19,-14.79,1,0.31,0,0,4,1122.18,2.37,12.2,16,13.61,0.3,0.6197,0.39,SustainedHotspot,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,2021-04-30,5,46,6.57,3.47,-0.2203,0.0641,0,5,0.1348,0,3,231.73,4.079,Lower risk of transmission in schools,substantial,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,321488,Metro,Medium metro,10488084,331996199,
37065,North Carolina,Edgecombe,88,170.97,-24.14,7.04,-2.81,895,1738.81,-21.28,1,1.94,-66.67,0,1,101.84,2.46,11.2,23.6,20.42,0.4,0.9726,0.99,SustainedHotspot,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,2021-04-30,1,12,1.71,20,0.5,0,0,1,0.2321,-0.0536,1,388.56,8.6122,Higher risk of transmission in schools,high,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,51472,Metro,Small metro,10488084,331996199,
37067,North Carolina,Forsyth,444,116.14,-2.63,5.6,-0.6,5067,1325.42,-23.7,4,1.05,100,0,0,937.44,2.46,11,17.6,16.41,0.2,0.6834,0.39,SustainedHotspot,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,2021-04-30,3,64,9.14,3.34,0,0.0384,0,3,0.071,-0.0077,2,236.21,5.9447,Moderate risk of transmission in schools,high,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,382295,Metro,Medium metro,10488084,331996199,
37069,North Carolina,Franklin,148,212.38,-22.92,5.87,-0.98,1261,1809.57,-19.27,0,0,-100,0,0,141.69,2.56,11.2,14.4,17.13,0.4,0.6376,0.85,SustainedHotspot,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,1900-01-01,0,0,,,,,,0,,,0,476.43,6.4116,Moderate risk of transmission in schools,high,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,69685,Metro,Large fringe metro,10488084,331996199,
37071,North Carolina,Gaston,276,122.92,-14.55,7.81,-0.13,3265,1454.16,-10.6,4,1.78,-42.86,0,2,631.14,2.62,10.8,15.6,16.32,0.4,0.672,0.7,SustainedHotspot,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,2021-04-30,1,10,1.43,2.46,-0.0909,0.0517,-0.0082,1,0.037,-0.0106,1,277.02,7.8791,Moderate risk of transmission in schools,high,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,224529,Metro,Large fringe metro,10488084,331996199,
37073,North Carolina,Gates,5,43.25,0,6.78,-0.28,59,510.29,-30.59,1,8.65,,0,2,33.94,2.57,8.5,11.1,20.91,0.8,0.3567,0.78,ModerateBurden,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,1900-01-01,0,0,,,,,,0,,,0,129.74,6.9444,Moderate risk of transmission in schools,moderate,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,11562,Metro,Large fringe metro,10488084,331996199,
37075,North Carolina,Graham,3,35.54,-50,2.78,2.18,36,426.49,-78.44,0,0,0,0,0,28.91,2.57,17.1,18.1,24.49,8.1,0.6338,0.7,ModerateBurden,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,1900-01-01,0,0,,,,,,0,,,0,106.62,0.9852,Lowest risk of transmission in schools,moderate,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,8441,Non-metro,Noncore,10488084,331996199,
37077,North Carolina,Granville,70,115.81,-27.84,4.41,-0.12,1225,2026.7,-27.04,0,0,0,0,0,113.62,2.62,9.1,13.9,17.66,0.5,0.6561,0.79,SustainedHotspot,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,2021-04-30,1,3,0.43,5.66,-0.4,0.0216,0,1,0.381,0.2619,1,276.29,4.4766,Lower risk of transmission in schools,high,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,60443,Non-metro,Micropolitan,10488084,331996199,
37079,North Carolina,Greene,33,156.63,83.33,5.69,0.16,404,1917.51,-14.04,1,4.75,0,0,0,78.99,2.56,16.6,25.7,17.05,0.5,0.9924,0.97,ModerateBurden,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,1900-01-01,0,0,,,,,,0,,,0,223.08,5.6064,Moderate risk of transmission in schools,high,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,21069,Non-metro,Noncore,10488084,331996199,
37081,North Carolina,Guilford,679,126.4,-20.58,5.19,-1.43,7386,1374.97,-26.52,20,3.72,-23.08,0,3,831.63,2.49,10.1,15.9,15.53,0.4,0.6369,0.66,Hotspot,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,2021-04-30,4,59,8.43,4.81,-0.2716,0.0618,0,4,0.0906,-0.019,3,292.64,6.0099,Moderate risk of transmission in schools,high,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,537174,Metro,Medium metro,10488084,331996199,
37083,North Carolina,Halifax,71,141.97,20.34,5.82,-1.27,773,1545.69,-13.05,0,0,-100,0,8,69.1,2.38,11.4,25.2,21.38,3.4,0.9646,0.98,SustainedHotspot,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,2021-04-30,1,5,0.71,3.18,1.5,0.0495,-0.0073,1,0.1837,0.1122,1,285.94,6.4982,Moderate risk of transmission in schools,high,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,50010,Non-metro,Micropolitan,10488084,331996199,
37085,North Carolina,Harnett,199,146.35,-3.86,6.68,-2.22,1601,1177.41,-11.5,1,0.74,-66.67,0,0,228.52,2.82,11.3,17,12.84,0.8,0.7869,0.77,SustainedHotspot,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,2021-04-30,1,17,2.43,17.95,0.7,0.1248,0.0343,1,0.1327,-0.0714,1,292.7,7.8592,Moderate risk of transmission in schools,high,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,135976,Non-metro,Micropolitan,10488084,331996199,
37087,North Carolina,Haywood,70,112.33,45.83,9.45,2.19,307,492.64,-3.15,3,4.81,,0,8,112.57,2.28,10.8,13.9,24.99,0.3,0.2809,0.81,EmergingHotspot,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,2021-04-30,1,1,0.14,1.22,-0.6667,0.0367,0.0093,1,0,0,1,182.94,8.3333,Higher risk of transmission in schools,high,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,62317,Metro,Medium metro,10488084,331996199,
37089,North Carolina,Henderson,122,103.9,16.19,4.65,-0.89,1268,1079.91,-11.14,1,0.85,,0,0,314.84,2.32,11.5,10.6,26.37,0.2,0.321,0.56,Hotspot,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,2021-04-30,2,7,1,2.93,-0.3636,0.0323,-0.0155,2,0.0672,-0.0966,2,206.95,5.1206,Moderate risk of transmission in schools,high,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,117417,Metro,Medium metro,10488084,331996199,
37091,North Carolina,Hertford,16,67.58,-20,7.04,0.48,213,899.61,-12.7,0,0,0,0,0,67.04,2.47,12.3,23.4,20.43,1,0.9873,0.98,ModerateBurden,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,2021-04-30,1,2,0.29,3.33,1,0.0383,-0.0383,1,0.125,0.1071,1,160.49,6.7834,Moderate risk of transmission in schools,substantial,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,23677,Non-metro,Noncore,10488084,331996199,
37093,North Carolina,Hoke,52,94.14,-10.34,8.37,-0.2,454,821.96,-25.21,0,0,0,0,0,141.58,2.92,12.8,21,10.6,7.9,0.8924,0.92,Hotspot,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,2021-04-30,1,2,0.29,4.08,-0.8,0.0991,-0.0291,1,0.0714,-0.1429,1,217.26,8.4826,Higher risk of transmission in schools,substantial,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,55234,Metro,Medium metro,10488084,331996199,
37095,North Carolina,Hyde,2,40.51,-83.33,3.39,-7.72,59,1195.06,-40.4,0,0,0,0,2,8.06,2.68,15.8,22.3,22.56,0.2,0.8627,0.98,ModerateBurden,2021-05-02,2021-04-24,2021-04-30,2021-04-23,2021-04-29,1900-01-01,0,0,,,,,,0,,,0,243.06,8.2279,Higher risk of transmission in schools,moderate,15.37,16.7,215.72,2.55,11.3,94,2.52,9.2,10.5,16.3,4937,Non-metro,Noncore,10488084,331996199,
